_id,ltable_id,rtable_id,ltable_name,ltable_address,ltable_city,ltable_zipcode,ltable_phone,rtable_name,rtable_address,rtable_city,rtable_zipcode,rtable_phone
10573,a2317,b218,El Paisano,1185 W Sunset Blvd,Los Angeles,90026.0,,Masa of Echo Park,1800 W Sunset Blvd,Los Angeles,90026.0,2139891558.0
10583,a2317,b997,El Paisano,1185 W Sunset Blvd,Los Angeles,90026.0,,El Compadre,1449 W Sunset Blvd,Los Angeles,90026.0,2132504505.0
10597,a2317,b1757,El Paisano,1185 W Sunset Blvd,Los Angeles,90026.0,,El Cochinito Restaurant,3508 W Sunset Blvd,Los Angeles,90026.0,3236680737.0
10606,a2317,b2181,El Paisano,1185 W Sunset Blvd,Los Angeles,90026.0,,El Condor,3701 W Sunset Blvd,Los Angeles,90026.0,3236604500.0
10617,a2317,b2804,El Paisano,1185 W Sunset Blvd,Los Angeles,90026.0,,El Siete Mares,3131 W Sunset Blvd,Los Angeles,90026.0,3236650865.0
10660,a65,b1001,Tatsu Ramen,7111 Melrose Ave,Los Angeles,90046.0,3237471388.0,Tatsu Ramen,7111 Melrose Ave,Los Angeles,90046.0,3237471388.0
10727,a245,b10,Blu Jam Café,7371 Melrose Ave,Los Angeles,90046.0,3239519191.0,Blujam Cafe,7371 Melrose Ave,Los Angeles,90046.0,3239519191.0
10744,a245,b501,Blu Jam Café,7371 Melrose Ave,Los Angeles,90046.0,3239519191.0,Fratelli Cafe,7200 Melrose Ave,Los Angeles,90046.0,3239382233.0
10844,a262,b317,Lala's Argentine Grill,7229 Melrose Ave,Los Angeles,90046.0,3239346838.0,Lala's,7229 Melrose Ave,Los Angeles,90046.0,3239346838.0
10846,a262,b427,Lala's Argentine Grill,7229 Melrose Ave,Los Angeles,90046.0,3239346838.0,Ta-eem Grill,7422 Melrose Ave,Los Angeles,90046.0,
10936,a399,b18,The Griddle Cafe,7916 W Sunset Blvd,Hollywood,90046.0,3238740377.0,The Griddle Cafe,7916 W Sunset Blvd,Los Angeles,90046.0,3238740377.0
10938,a399,b31,The Griddle Cafe,7916 W Sunset Blvd,Hollywood,90046.0,3238740377.0,The Veggie Grill,8000 W Sunset Blvd,Los Angeles,90046.0,3238227575.0
10960,a399,b650,The Griddle Cafe,7916 W Sunset Blvd,Hollywood,90046.0,3238740377.0,The Pikey,7617 W Sunset Blvd,Los Angeles,90046.0,3238505400.0
10979,a399,b1153,The Griddle Cafe,7916 W Sunset Blvd,Hollywood,90046.0,3238740377.0,Aroma Bakery Cafe,7373 W Sunset Blvd,Los Angeles,90046.0,3238508120.0
10996,a399,b1606,The Griddle Cafe,7916 W Sunset Blvd,Hollywood,90046.0,3238740377.0,Chibiscus Asian Cafe and restaurant,7361 1/2 W Sunset Blvd,Los Angeles,90046.0,3239779877.0
10997,a399,b1635,The Griddle Cafe,7916 W Sunset Blvd,Hollywood,90046.0,3238740377.0,The Carving Board,7300 W Sunset Blvd,West Hollywood,90046.0,3238454550.0
11017,a399,b2382,The Griddle Cafe,7916 W Sunset Blvd,Hollywood,90046.0,3238740377.0,Hunan Cafe,7986 W Sunset Blvd,Los Angeles,90046.0,3238221208.0
11043,a409,b61,Bossa Nova on Sunset,7181 W Sunset Blvd,Los Angeles,90046.0,3234367999.0,Bossa Nova,7181 W Sunset Blvd,Los Angeles,90046.0,3234367999.0
11131,a409,b2745,Bossa Nova on Sunset,7181 W Sunset Blvd,Los Angeles,90046.0,3234367999.0,Sunset Trocadero Lounge,8280 W Sunset Blvd,West Hollywood,90046.0,
11149,a557,b110,El Compadre,7408 W Sunset Blvd,Los Angeles,90046.0,3238747924.0,El Compadre,7408 W Sunset Blvd,Los Angeles,90046.0,3238747924.0
11167,a557,b639,El Compadre,7408 W Sunset Blvd,Los Angeles,90046.0,3238747924.0,El Pollo Loco,7101 W Sunset Blvd,Los Angeles,90046.0,3238746037.0
11268,a562,b603,The Village Idiot,7383 Melrose Ave,Los Angeles,90046.0,3236553331.0,The Village Idiot,7383 Melrose Ave,Los Angeles,90046.0,3236553331.0
11303,a562,b1543,The Village Idiot,7383 Melrose Ave,Los Angeles,90046.0,3236553331.0,The Hart and the Hunter,7950 Melrose Ave,Los Angeles,90046.0,
